"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,24,9568,131,162,3.06229,1.36915,1.69314
National,X,2017,25,8455,107,117,2.64932,1.26552,1.3838
National,X,2017,26,7498,94,96,2.53401,1.25367,1.28034
National,X,2017,27,7071,75,79,2.17791,1.06067,1.11724
National,X,2017,28,7394,92,68,2.16392,1.24425,0.919665
National,X,2017,29,7178,87,45,1.83895,1.21204,0.626916
National,X,2017,30,6755,72,50,1.80607,1.06588,0.740192
National,X,2017,31,6725,96,35,1.94796,1.42751,0.520446
National,X,2017,32,6893,76,55,1.90048,1.10257,0.797911
National,X,2017,33,7596,62,40,1.34281,0.816219,0.526593
National,X,2017,34,8160,80,37,1.43382,0.980392,0.453431
National,X,2017,35,9404,120,62,1.93535,1.27605,0.659294
National,X,2017,36,10381,128,68,1.88806,1.23302,0.655043
National,X,2017,37,11602,148,72,1.89622,1.27564,0.620583
National,X,2017,38,12699,137,75,1.66942,1.07883,0.590598
National,X,2017,39,13622,155,77,1.70313,1.13787,0.565262
National,X,2017,40,15532,230,112,2.20191,1.48081,0.721092
National,X,2017,41,16557,248,98,2.08975,1.49786,0.591895
National,X,2017,42,17827,278,110,2.17647,1.55943,0.617042
National,X,2017,43,18391,340,135,2.58279,1.84873,0.734055
National,X,2017,44,20015,503,219,3.60729,2.51312,1.09418
National,X,2017,45,21886,689,240,4.24472,3.14813,1.09659
National,X,2017,46,23794,939,322,5.29966,3.94637,1.35328
National,X,2017,47,23830,1336,353,7.0877,5.60638,1.48133
National,X,2017,48,27213,1552,436,7.30533,5.70316,1.60218
National,X,2017,49,30767,2479,827,10.7453,8.05733,2.68794
National,X,2017,50,35194,4560,844,15.3549,12.9568,2.39814
National,X,2017,51,48009,9237,1698,22.777,19.2401,3.53684
National,X,2017,52,55518,12002,2092,25.3864,21.6182,3.76815
National,X,2018,1,61316,13018,2535,25.3653,21.231,4.13432
National,X,2018,2,68276,15149,3246,26.9421,22.1879,4.75423
National,X,2018,3,69124,14782,3905,27.034,21.3848,5.64927
National,X,2018,4,80322,16634,5350,27.3698,20.7091,6.66069
National,X,2018,5,81687,15193,6915,27.0643,18.599,8.46524
National,X,2018,6,81391,14116,7858,26.9981,17.3434,9.65463
National,X,2018,7,74973,11371,8210,26.1174,15.1668,10.9506
National,X,2018,8,60034,7177,6400,22.6155,11.9549,10.6606
National,X,2018,9,48489,4405,4559,18.4867,9.08453,9.40213
National,X,2018,10,40978,2897,3534,15.6938,7.06965,8.62414
National,X,2018,11,36794,2349,3384,15.5813,6.38419,9.19715
National,X,2018,12,33442,2023,3103,15.328,6.04928,9.27875
National,X,2018,13,30668,1708,2927,15.1135,5.56932,9.54415
National,X,2018,14,27339,1132,2337,12.6888,4.1406,8.54823
National,X,2018,15,25052,901,1917,11.2486,3.59652,7.65208
National,X,2018,16,21483,595,1424,9.39813,2.76963,6.6285
National,X,2018,17,19328,472,1074,7.99876,2.44205,5.55671
National,X,2018,18,17095,346,724,6.25914,2.02398,4.23516
National,X,2018,19,14978,191,467,4.39311,1.2752,3.11791
National,X,2018,20,13013,176,236,3.16606,1.35249,1.81357
National,X,2018,21,11799,119,163,2.39003,1.00856,1.38147
National,X,2018,22,10789,76,89,1.52934,0.704421,0.824914
National,X,2018,23,9703,73,80,1.57683,0.752345,0.824487
National,X,2018,24,8929,51,65,1.29914,0.571173,0.727965
National,X,2018,25,8502,49,38,1.02329,0.576335,0.446954
National,X,2018,26,7723,57,29,1.11356,0.738055,0.375502
National,X,2018,27,6879,44,25,1.00305,0.639628,0.363425
National,X,2018,28,6986,51,13,0.916118,0.730031,0.186086
National,X,2018,29,6835,57,15,1.0534,0.833943,0.219459
National,X,2018,30,6733,48,19,0.995099,0.712907,0.282192
National,X,2018,31,6292,43,17,0.953592,0.683408,0.270184
National,X,2018,32,6790,43,22,0.95729,0.633284,0.324006
National,X,2018,33,7065,36,18,0.764331,0.509554,0.254777
National,X,2018,34,7783,77,27,1.33625,0.989336,0.34691
National,X,2018,35,8712,98,33,1.50367,1.12489,0.378788
National,X,2018,36,9786,119,52,1.74739,1.21602,0.531371
National,X,2018,37,12030,155,48,1.68745,1.28845,0.399002
National,X,2018,38,13182,158,66,1.69929,1.1986,0.500683
National,X,2018,39,14763,169,52,1.49699,1.14475,0.352232
National,X,2018,40,16528,218,71,1.74855,1.31897,0.429574
National,X,2018,41,18035,223,83,1.6967,1.23648,0.460216
National,X,2018,42,20190,311,89,1.98118,1.54037,0.440812
National,X,2018,43,21409,340,101,2.05988,1.58812,0.471764
National,X,2018,44,22447,390,99,2.17846,1.73743,0.441039
National,X,2018,45,23515,546,98,2.73868,2.32192,0.416755
National,X,2018,46,24475,668,104,3.15424,2.72932,0.424923
National,X,2018,47,24726,897,76,3.93513,3.62776,0.307369
National,X,2018,48,28283,1001,106,3.91401,3.53923,0.374783
National,X,2018,49,29028,1660,152,6.24225,5.71862,0.523632
National,X,2018,50,33117,3242,194,10.3753,9.78953,0.585802
National,X,2018,51,38370,5288,192,14.282,13.7816,0.500391
National,X,2018,52,43325,6849,240,16.3624,15.8084,0.553953
National,X,2019,1,44383,5238,152,12.1443,11.8018,0.342473
National,X,2019,2,41545,5075,218,12.7404,12.2157,0.524732
National,X,2019,3,41959,6663,186,16.3231,15.8798,0.44329
National,X,2019,4,44101,8309,243,19.3919,18.8408,0.551008
National,X,2019,5,48536,10659,289,22.5565,21.961,0.595434
National,X,2019,6,53892,13122,429,25.1447,24.3487,0.796037
National,X,2019,7,53123,13313,509,26.0189,25.0607,0.958154
National,X,2019,8,53900,13680,475,26.2616,25.3803,0.881262
National,X,2019,9,53088,13416,436,26.0925,25.2712,0.821278
National,X,2019,10,53153,13188,434,25.6279,24.8114,0.816511
National,X,2019,11,53283,13364,559,26.1303,25.0812,1.04912
National,X,2019,12,48659,10322,614,22.4748,21.2129,1.26184
National,X,2019,13,42750,7664,593,19.3146,17.9275,1.38713
National,X,2019,14,36631,4883,588,14.9354,13.3302,1.6052
National,X,2019,15,31608,3201,559,11.8957,10.1272,1.76854
National,X,2019,16,27931,1891,511,8.59976,6.77026,1.82951
National,X,2019,17,24638,1028,408,5.8284,4.17242,1.65598
National,X,2019,18,20115,634,332,4.80239,3.15188,1.65051
National,X,2019,19,17687,404,275,3.83898,2.28416,1.55481
National,X,2019,20,16978,333,268,3.53988,1.96136,1.57851
National,X,2019,21,15630,276,258,3.41651,1.76583,1.65067
National,X,2019,22,14341,212,229,3.0751,1.47828,1.59682
National,X,2019,23,12601,144,207,2.78549,1.14277,1.64273
National,X,2019,24,11384,129,134,2.31026,1.13317,1.17709
National,X,2019,25,10438,109,90,1.9065,1.04426,0.862234
National,X,2019,26,9120,93,96,2.07237,1.01974,1.05263
National,X,2019,27,8746,128,85,2.4354,1.46353,0.971873
National,X,2019,28,8977,102,81,2.03854,1.13624,0.902306
National,X,2019,29,8256,106,80,2.25291,1.28391,0.968992
National,X,2019,30,7876,103,85,2.387,1.30777,1.07923
National,X,2019,31,7763,103,84,2.40886,1.32681,1.08206
National,X,2019,32,7900,77,85,2.05063,0.974684,1.07595
National,X,2019,33,8162,77,92,2.07057,0.943396,1.12717
National,X,2019,34,8694,93,116,2.40396,1.0697,1.33425
National,X,2019,35,10164,138,217,3.49272,1.35773,2.13499
National,X,2019,36,11132,127,225,3.16206,1.14086,2.0212
National,X,2019,37,10628,141,175,2.97328,1.32668,1.64659
